scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
FOKLmaQAAAAJ,8z38R2MAAAAJ,Pat Wheeler,University of Nottingham
FOKLmaQAAAAJ,Wk2naEgAAAAJ,José R. Espinoza,"Professor, Electrical Engineering Department, Universidad de Concepción"
FOKLmaQAAAAJ,YwQuZr0AAAAJ,Javier Munoz,Universidad de Talca
FOKLmaQAAAAJ,nnR1yjAAAAAJ,Raul Gregor,"Laboratory of Power and Control Systems, Facultad de Ingeniería, Universidad Nacional de …"
FOKLmaQAAAAJ,9WeLp14AAAAJ,Venkata Yaramasu,"Associate Professor of Electrical Engineering, SICCS, Northern Arizona University, Flagstaff …"
FOKLmaQAAAAJ,m5ilgx8AAAAJ,Sergio Ramón Toledo Gallardo,Engineering Faculty - Universidad Nacional de Asunción
FOKLmaQAAAAJ,R9PE5fMAAAAJ,Jorge Esteban Rodas Benítez,"Professor, Head of Reseach, Facultad de Ingeniería, Universidad Nacional de Asunción"
FOKLmaQAAAAJ,ki2DjVkAAAAJ,Carlos R. Baier,"Departamento de Ingeniería Eléctrica, Universidad de Talca"
FOKLmaQAAAAJ,U1_r_C4AAAAJ,Christian Rojas,Universidad Tecnica Federico Santa Maria
FOKLmaQAAAAJ,elPYGv4AAAAJ,Jose A. Riveros,"Universidad Nacional de Asunción, Paraguay"
FOKLmaQAAAAJ,0EMhA8AAAAAJ,Johann Kolar,"Professor für Leistungselektronik, ETH Zürich"
FOKLmaQAAAAJ,SyIr8FUAAAAJ,Pericle Zanchetta,"Professor, University of Nottingham, UK"
FOKLmaQAAAAJ,QJ1Hdb4AAAAJ,Mohammad Ali Hosseinzadeh,Technichal University of Munich
FOKLmaQAAAAJ,1Yx1N58AAAAJ,Maryam Sarebanzadeh,Technical University of Munich
FOKLmaQAAAAJ,NyG0GBgAAAAJ,Luca Tarisciotti,Universidad Andres Bello
FOKLmaQAAAAJ,67H3HyIAAAAJ,ruben pena,"university of nottingham, university of magallanes, university of concepcion"
FOKLmaQAAAAJ,010wbxAAAAAJ,Pedro E. Melín C.,Department of Electrical and Electronic Engineering - University of Bío-Bío
FOKLmaQAAAAJ,aa-NCokAAAAJ,Jaime Addin Rohten,Universidad del Bío-Bío
FOKLmaQAAAAJ,6lULrbsAAAAJ,Edgar Maqueda,"MSc. en Ingeniería Electrónica, Universidad Nacional de Asunción, Facultad de Ingeniería"
FOKLmaQAAAAJ,h9hPvFMAAAAJ,Sergio Vazquez,Associate Professor (Universidad de Sevilla)
FOKLmaQAAAAJ,Absa1W8AAAAJ,Alan Hjalmar Wilson Veas,Ph.D. student at Dresden University of Technology
FOKLmaQAAAAJ,RzKWROYAAAAJ,Dr. Ganesh Kumar Srinivasan,"Professor, DEEE,Anna University, CEG, Chennai-600025"
FOKLmaQAAAAJ,ZxjFl9cAAAAJ,Magno Elias Ayala Silva,"Facultad de Ingeniería, Universidad Nacional de Asunción"
FOKLmaQAAAAJ,QY_Dki0AAAAJ,Yamisleydi Salgueiro Sicilia,Universidad de Talca
FOKLmaQAAAAJ,8IoHV-wAAAAJ,Davood A. Khaburi,Associate Professor - Iran University of Science and Technology (IUST)
FOKLmaQAAAAJ,QzNXh6kAAAAJ,David Caballero Morilla,Facultad de Ingeniería Universidad Nacional de Asunción
