id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
15469411678705648791,GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,uahurtado,uahurtado.cl,10481,Musicología Música popular latinoamericana Música y sociedad 
15469411678705648791,ZIkl7UgAAAAJ,Luis Cornejo,"Profesor, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,1521,Arqueología 
15469411678705648791,3SzLhtAAAAAJ,Antonia Larrain (https://orcid.org/0000-0002-1968-4516),Universidad Alberto Hurtado,uahurtado,uahurtado.cl,1345,
15469411678705648791,cKOW8IEAAAAJ,Javier Corvalán,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,1266,sociología educación 
15469411678705648791,ROCQFAUAAAAJ,Mauricio Castillo-Vergara,"Facultad de Economía y Negocios, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,1138,creativity entrepreneurship innovation SMEs 
15469411678705648791,V0s0uYUAAAAJ,Juan Carlos Skewes,Profesor de Antropología (UAH),uahurtado,uahurtado.cl,992,antropología del ambiente patrimonio educación superior exclusión 
15469411678705648791,zUMMuRYAAAAJ,Cristian Geldes,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,977,strategy marketing innovation and sustainability 
15469411678705648791,Xj906M4AAAAJ,Fernando Crespo,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,832,Mathematical Modelling Analytics Operational Research Data Mining Statistics 
15469411678705648791,L2YpgysAAAAJ,Viviana Galdames,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,798,didáctica del lenguaje lengua materna y segundas lenguas educación intercultural bilingüe 
15469411678705648791,q3ca8v4AAAAJ,Juan Manuel Garrido Wainer,"Profesor de Filosofía, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,702,Filosofía contemporánea Filosofía de las ciencias 
15469411678705648791,3nSJIm0AAAAJ,andrea ruffinelli,académica facultad educación universidad alberto hurtado,uahurtado,uahurtado.cl,654,educación formación inicial docente 
15469411678705648791,OjP1gWgAAAAJ,Nicolas Fleet,"Departamento de Sociología, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,589,sociología teoría social sociología política sociología de las profesiones educación superior 
15469411678705648791,4S09yXQAAAAJ,Claudia Vergara,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,561,enseñanza de las ciencias indagación practicas analisis de video 
15469411678705648791,MmRz8u0AAAAJ,Veronica Vargas,"Research Associate, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,434,health economics health policy global health 
15469411678705648791,-Di4rF4AAAAJ,Manuel Fuenzalida ,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,428,Análisis Espacial Geografía de la Salud Sistemas de Información Geográfica Modelos de Localización-Asignación 
15469411678705648791,wwDBa-oAAAAJ,Christopher  Nikulin,"Facultad de Ingenieria, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,410,Modelamiento y Resolución de Problemas 
15469411678705648791,ywRXTR4AAAAJ,Miriam Lorena Henriquez Viñas,Facultad de Derecho Universidad Alberto Hurtado,uahurtado,uahurtado.cl,402,Fuentes del Derecho. Accciones … 
15469411678705648791,YXDSFOAAAAAJ,Rafael Romero-Meza,Associate Professor in Finance Universidad Alberto Hurtado,uahurtado,uahurtado.cl,388,Finance 
15469411678705648791,iBZGMxkAAAAJ,Rolando Angel-Alvarado,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,380,educación musical didáctica de la música music education didactics of music 
15469411678705648791,0i6XB6MAAAAJ,Isaac Caro,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,372,Estudios internacionales 
15469411678705648791,clLGg48AAAAJ,Daniel Palma,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,356,Crime and police history historia de América Latina y Chile historia del rock 
15469411678705648791,desdAPoAAAAJ,Ignacio Cienfuegos,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,351,Gestión Pública 
15469411678705648791,_KZs54gAAAAJ,Carla Pinochet Cobos,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,347,antropología del arte 
15469411678705648791,Nyxl5kwAAAAJ,Claudio Antonio Agüero San Juan,Profesor de Derecho Constitucional. Universidadl Alberto Hurtado (Chile),uahurtado,uahurtado.cl,332,Derecho 
15469411678705648791,Qiq9zKcAAAAJ,Stephen Darwin,"Profesor Asociado, Facultad de Educación, Universidad Alberto Hurtado, Chile",uahurtado,uahurtado.cl,326,Higher Education Teacher Education Student Evaluation Vocational Education and Learning Design 
15469411678705648791,NoSbioAAAAAJ,Pablo Toro Blanco,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,306,Historia social y cultural de la educación en … historia de los movimientos estudiantiles y de … 
15469411678705648791,zgHSnJYAAAAJ,Cristobal Arrieta,"Academic at the Faculty of Engineering, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,288,Chemical shift MRI methods Image segmentation Level sets Shape prior knowledge Rapid prototyping 
15469411678705648791,e-Jt-w4AAAAJ,Pamela Frias,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,273,Estudios del trabajo jóvenes y generaciones gestión de recursos humanos 
15469411678705648791,ex8UIZ4AAAAJ,Alvaro Soto Roy,"Facultad de Psicología, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,256,trabajo subjetividad identidad 
15469411678705648791,kGIQpNkAAAAJ,Julieta Palma,Assistant Professor of Sociology at the Universidad Alberto Hurtado,uahurtado,uahurtado.cl,241,Family change living arrangements gender inequalities public policies 
15469411678705648791,XZoScBQAAAAJ,Francesco Emmanuel Penaglia Vásquez,"Departamento de Política y Gobierno, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,228,conflicto social acción sociopolítica movimientos sociales relación Estado-sociedad 
15469411678705648791,j9Y7LQwAAAAJ,Marcela Ruiz Zúñiga,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,227,Discourse analysis Archives and human rights Academic language in history. 
15469411678705648791,hCZA6LcAAAAJ,Barbara Silva,"Historian of Science, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,223,history of science and technology history of knowledge 
15469411678705648791,N7E3JRMAAAAJ,Felipe Livert,UAH,uahurtado,uahurtado.cl,222,political economy regional policy infrastructure planning 
15469411678705648791,mUgBWG0AAAAJ,Enrique Rajevic,"Profesor de Derecho Administrativo, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,210,Derecho Administrativo Derecho Urbanístico Gestión Pública Transparencia 
15469411678705648791,kWbb_ukAAAAJ,Renato Moretti,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,205,Psicología Educacional Sociología de la Educación Historia de la Psicología Historia de la Educación 
15469411678705648791,5ih2rDYAAAAJ,Cristobal Madero,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,186,Sociology of Work and Professions Organizational Behavior Teacher Formation Sociology of Religion 
15469411678705648791,TkuKxkUAAAAJ,Amaranta Alfaro,"Reseach professor, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,181,social media participation digital activism media literacy digital journalism 
15469411678705648791,qjXJtrsAAAAJ,Constanza Gálvez,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,173,gender studies transgender psychotherapy latin studies 
15469411678705648791,kdH0jXMAAAAJ,Javiera Figueroa-Miralles,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,166,Educación Lingüística educacional Didáctica del lenguaje 
15469411678705648791,jkT_-qgAAAAJ,Mauricio Tejada,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,158,Macroeconomics Labor Economics Applied Econometrics 
15469411678705648791,YTOhUVUAAAAJ,Sonia Brito Rodríguez,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,153,Interculturalidad migraciones género educación superior Jóvenes y juventudes 
15469411678705648791,Vbua4BUAAAAJ,Ramiro de Elejalde,"Department of Economics, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,150,Industrial Organization Health Economics Applied Econometrics 
15469411678705648791,GSmE8RUAAAAJ,Felipe Armstrong,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,148,Archaeology Art Prehistory Bodies 
15469411678705648791,h_eQpcAAAAAJ,Francisca Márquez Belloni,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,141,Antropologia 
15469411678705648791,1lfEpjEAAAAJ,Solange Gorichon Gálvez,Académico Universidad Alberto Hurtado,uahurtado,uahurtado.cl,134,Educación formación inicial docente 
15469411678705648791,EUKMHgYAAAAJ,Lucero de Vivanco,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,133,literatura latinoamericana violencia memoria representaciones 
15469411678705648791,6g8y44oAAAAJ,Pablo Andrés Astudillo Lizama,"Profesor Departamento de Política Educativa, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,132,sociología educación género sexualidad 
15469411678705648791,ESG-HlIAAAAJ,Roberto Rubio,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,117,Fenomenología Hermenéutica Bildwissenschaft Heidegger 
15469411678705648791,syJP-K4AAAAJ,Rodolfo Quiroz Rojas,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,116,geografía política pensamiento geográfico 
15469411678705648791,o4bWwzQAAAAJ,Wilson Alavia,"Faculty of Engineering, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,106,
15469411678705648791,EjyMUe8AAAAJ,Nicolás Corvera,"Profesor de Sociología, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,98,Participación ciudadana educación docencia investigación social música 
15469411678705648791,EmMr80MAAAAJ,Fernando Lopez,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,91,
15469411678705648791,om-ISu0AAAAJ,Francisco Estrada Vásquez,"Profesor de Derecho Civil, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,87,justicia penal adolescente juvenile justice derecho de familia family law child protection 
15469411678705648791,w3xiAVsAAAAJ,Alejandra Andueza Correa,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,85,enseñanza de la escritura escritura creativa metacognición aprendizaje significativo 
15469411678705648791,7vqfn54AAAAJ,Eduardo Canteros,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,77,Estudios Urbanos Conocimiento comunitario 
15469411678705648791,Pp5OczsAAAAJ,Rafael Miranda Molina,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,73,geometría dinámica geometría inclusión equidad educación superior 
15469411678705648791,oWdkRK0AAAAJ,Daniela Fugellie,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,73,Musicología 
15469411678705648791,XIpXcyIAAAAJ,Gonzalo Oyarzún Vargas,"Professor of Educational Courses, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,72,Education Educational Policy Comparative Education Policies Sociology of Education Critical Pedagogy 
15469411678705648791,IFROnekAAAAJ,Alfonso Bonhomme Manriquez,"Departamento de Psicología, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,56,Políticas de Aprendizaje Social y Emocional Emociones Cultura terapéutica Educación. 
15469411678705648791,OQBICtYAAAAJ,Rodrigo Barria Díaz,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,53,derecho civil responsabilidad civil enriquecimiento … 
15469411678705648791,UhcAJbIAAAAJ,Gabriel Fortes,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,52,Educação Argumentação & Cognição 
15469411678705648791,IsXxPBcAAAAJ,Natalia Hernández Mary,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,52,Trabajo Social Intervenciones sociales Juventudes 
15469411678705648791,hhWf9PoAAAAJ,Alejandro Cortés Salinas,"Departamento de Geografía, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,51,Geografía del transporte Movilidad Urbana Accesibilidad 
15469411678705648791,1Ji7xGAAAAAJ,Goretti Cabaleiro Cerviño,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,48,Technology Management and Innovation Business Strategy Intellectual Property Rights Licensing. 
15469411678705648791,1-7CYlsAAAAJ,Michelle Azuaje-Pirela,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,48,Derecho Corporativo/ Propiedad Intelectual … 
15469411678705648791,A5d45rgAAAAJ,Sebastian Kaufmann,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,45,filosofía política filosofía del derecho hermenéutica Paul Ricoeur Gabriel Marcel 
15469411678705648791,a1Zzs4EAAAAJ,Ximena Zabala Corradi,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,41,
15469411678705648791,XMXFHP4AAAAJ,Pablo Silva Ríos,"Professor of English Pedagogy, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,39,tefl language assessment language teacher education 
15469411678705648791,QVQCf8QAAAAJ,Alicia Rain,PhD Persona y Sociedad en el Mundo Contemporáneo. Universidad Alberto Hurtado. Chile,uahurtado,uahurtado.cl,35,Género interculturalidad descolonialidad trabajo social 
15469411678705648791,RH2gfoAAAAAJ,Ulises Sepúlveda,Académico del Departamento de Geografía Universidad Alberto Hurtado,uahurtado,uahurtado.cl,33,Geografía cultural métodos cualitativos educación geográfica geografía de los niños y jóvenes 
15469411678705648791,WsAt0D8AAAAJ,Ximena Orchard,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,31,media sociology political communication journalism studies elites 
15469411678705648791,ydBXoc4AAAAJ,Karina Retamal Soto,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,23,Gobiernos Subnacionales Administración Pública Estudios Urbanos 
15469411678705648791,HtElAK0AAAAJ,Liliam Almeyda,"Académica Departamento de Historia, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,23,Formación docente Formación práctica Didáctica de la historia Investigación pedagógica 
15469411678705648791,NiQW1V4AAAAJ,Macarena Céspedes,"Departamento de Lengua y Literatura, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,21,Sociolingüística Fonética Entonación Oralidad 
15469411678705648791,wxeCIuEAAAAJ,Juan Vicente Cortés,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,20,Philosophy 
15469411678705648791,RG_D8ycAAAAJ,Diego Márquez Arancibia,"Profesor, licenciado y magíster en filosofía, Universidad Alberto Hurtado",uahurtado,alumnos.uahu,14,Filosofía política posestructuralismo ética historia de la filosofía contemporánea 
15469411678705648791,MG4--cEAAAAJ,Gustavo Macaya Aguirre,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,14,migraciones género violencias Derechos Humanos 
15469411678705648791,qaam31UAAAAJ,Mitzi Duboy-Luengo,Docente pre y postgrado Universidad Alberto Hurtado (UAH),uahurtado,uahurtado.cl,13,Trabajo Social - Producción de … 
15469411678705648791,FVIIDnsAAAAJ,Rodrigo Ortiz,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,13,Finanzas Econometría 
15469411678705648791,14pWZNUAAAAJ,Antonio Silva,Departamento de Arte - Facultad de Filosofía y Humanidades - Universidad Alberto Hurtado,uahurtado,uahurtado.cl,12,Arts education aesthetic art theory art based research 
15469411678705648791,FEvNeq8AAAAJ,Leonardo Díaz Collao,"Etnomusicólogo. Investigador postdoctoral, Instituto de Música, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,10,Música mapuche música y chamanismo etnomusicología etnografía 
15469411678705648791,jit-0soAAAAJ,Claudio Escobar,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,9,tecnologías de información gestión documental preservación digital visualización de datos 
15469411678705648791,2aJ0XT4AAAAJ,Tiago Alves Ferreira,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,9,accounting finance financial accounting data science qualitative research 
15469411678705648791,wZ7cZhEAAAAJ,Natalia Fernández Martínez,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,8,Educación transiciones educativas trayectorias Técnico profesionales tutorías de acompañamiento integral 
15469411678705648791,XYBgDE8AAAAJ,Salomé Villa Larenas,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,7,language testing language assessment literacy test impact teacher education 
15469411678705648791,zX4qncoAAAAJ,Remis Ramos Carreño,Universidad Alberto Hurtado,uahurtado,alumnos.uahu,6,Filosofía de la Mente Ciencias Cognitivas Epistemología Filosofía de la Ciencia 
15469411678705648791,t_xC8tcAAAAJ,Álvaro Arancibia-Bustos,"Dr.(c) en Sociología, Universidad Alberto Hurtado",uahurtado,alumnos.uahu,6,Trabajo Clases Sociales Conciencia de Clase 
15469411678705648791,qCRImu8AAAAJ,"René Cortínez, SJ","Universidad Alberto Hurtado, Centro UC Derecho y Religión Pontificia Universidad Católica …",uahurtado,uahurtado.cl,6,Derecho Público Derechos Humanos Derecho Eclesiástico del Estado Archivística y Conservación 
15469411678705648791,yKVz31QAAAAJ,Norma Silva Sá,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,4,género masculinidades cuidados igualdad de género paternidad 
15469411678705648791,oqdFQ8wAAAAJ,Jordan Martínez Sierra,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,4,Medio ambiente producción de conocimiento. 
15469411678705648791,H7jrTScAAAAJ,Roberto Saldías,"Professor of Philosophy, Alberto Hurtado University",uahurtado,uahurtado.cl,3,Political Philosophy Modern Philosophy Philosophy of Art 
15469411678705648791,2E-3AeMAAAAJ,Carlos Aparicio,"Profesor e Investigador, Universidad Alberto Hurtado, UNAB, UMC.",uahurtado,uahurtado.cl,2,Responsabilidad Social Desarrollo Sostenible Administración Economía Diálogo Social 
15469411678705648791,MsPC8uwAAAAJ,Shirley Gotz,"Profesora de Relaciones Internacionales, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,1,Relaciones América Latina Análisis de Política Exterior Política Exterior Comparada 
15469411678705648791,VCXn83wAAAAJ,Joaquín Eguren Álvarez,"Profesor de Inglés, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,1,Language Assessment Naturalistic learning 
15469411678705648791,mkgoO8oAAAAJ,Maribel Barroso Rojo,Universidad Alberto Hurtado,uahurtado,alumnos.uahu,1,Filosofia de la ciencia filosofia analítica logica Spinoza. 
15469411678705648791,AEIa8-AAAAAJ,Mauricio Toval-Gajardo,"Doctor (c) en Psicología, Universidad Alberto Hurtado",uahurtado,uahurtado.cl,1,subjetividad arte música trabajo psicología social 
15469411678705648791,mDAu6P4AAAAJ,Arturo Aliaga,Universidad Alberto Hurtado,uahurtado,uahurtado.cl,,Filosofía Moderna Filosofía Medieval Filosofía Política 
15469411678705648791,0jJAFzIAAAAJ,Cristian Andrés Padilla Burgos,Universidad Alberto Hurtado,uahurtado,alumnos.uahu,,Antropología Filosofía Ciencias de la religiones investigación educativa 
15469411678705648791,z0fyxY4AAAAJ,Marcelo Pavez Gómez,"Cientista Político, Universidad Alberto Hurtado",uahurtado,alumnos.uahu,,Políticas Públicas Estado Sociedad Administración Pública Innovación 
15469411678705648791,oMKf7a8AAAAJ,Maite Mella Díaz,"Politóloga, Universidad Alberto Hurtado",uahurtado,alumnos.uahu,,
