id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
7698552169257898503,I3GzTsgAAAAJ,Nelson Silva,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",pucv,pucv.c,13436,oceanografía biogeoquímica marina fiordos patagonia sedimentos 
7698552169257898503,3Wz5lUMAAAAJ,Joel Saavedra,Pontificia Universidad Católica de Valparaíso,pucv,ucv.cl,9310,Gravitación Cosmología 
7698552169257898503,GTvRpIoAAAAJ,Cristóbal Sifón,"Profesor Asociado, Instituto de Física, Pontificia Universidad Católica de Valparaíso",pucv,pucv.c,7877,Galaxy clusters observational cosmology 
7698552169257898503,t6WTsxEAAAAJ,Victor Leiva. First place ranking mathematics/statistics scientists in Chile/Hispanic America,"Profesor Titular. Escuela de Ingeniería Industrial, Pontificia Universidad Católica de …",pucv,pucv.c,6901,Data Science-Big Data Statistical Modeling Machine Learning-Artificial Intelligence Operational Research Quality Control 
7698552169257898503,1pGKw9UAAAAJ,Claudia Mellado,"Profesor de Periodismo, Pontificia Universidad Católica de Valparaíso",pucv,pucv.c,6206,journalistic role performance journalistic cultures comparative research professional roles 
7698552169257898503,eWXIjwwAAAAJ,Carlos Cristi-Montero,Pontificia Universidad Católica de Valparaiso,pucv,pucv.c,5639,Ciencias de la Actividad Física y Deportes 
7698552169257898503,FOjm5zgAAAAJ,Romina Pedreschi,Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,5368,postharvest physiology food engineering food science 
7698552169257898503,RfSpDuEAAAAJ,Javier A. Bravo,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,pucv,pucv.c,5204,
7698552169257898503,eYwMalQAAAAJ,PABLO Cornejo,Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,4902,
7698552169257898503,QyYCFvoAAAAJ,Giovanni Parodi,Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,4854,Psicolingüística Lingüística de Corpus Géneros del Discurso Multimodalidad 
7698552169257898503,04ZzYdAAAAAJ,Maria Argudo-Fernandez,"Associate Professor, Institute of Physics, Pontificia Universidad Católica de Valparaíso",pucv,pucv.c,4835,Astronomy and Astrophysics Astrophysics of Galaxies Extragalactic Astronomy 
7698552169257898503,cUKJtaMAAAAJ,Verónica López,Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,4185,Psicología/Psychology/Education/Research/ 
7698552169257898503,iC1zxr4AAAAJ,Ricardo Soto,Pontificia Universidad Catolica de Valparaiso,pucv,ucv.cl,4160,Computer Science Mathematics Engineering Decision Sciences 
7698552169257898503,T70m45sAAAAJ,Nicolas Tejos,"Astronomer, Pontificia Universidad Catolica de Valparaiso",pucv,pucv.c,3941,Astronomy 
7698552169257898503,KfDyRkUAAAAJ,Jessica López,"Profesor Asociado, Pontificia Universidad Católica de Valparaíso",pucv,pucv.c,3896,Ciencias y Tecnologías de los alimentos 
7698552169257898503,O8xOA28AAAAJ,Fernando Rodriguez-Rodriguez,"Physical Education, Pontificia Universidad Católica de Valparaíso",pucv,pucv.c,3688,physical education physical activity active commuting exercise body composition 
7698552169257898503,7x2N9moAAAAJ,Sergio H. Marshall,Profesor Pontificia Universidad Catolica de Valparaiso,pucv,ucv.cl,3086,genetica molecular 
7698552169257898503,Etid-XsAAAAJ,Carmen Montecinos,"Professor of Psychology, Pontificia Universidad Catolica de Valparaiso",pucv,ucv.cl,2947,teacher education situated learning 
7698552169257898503,HTEL8I8AAAAJ,Marco Cisternas,"Instituto de Geografía, Pontificia Universidad Católica de Valparaíso",pucv,pucv.c,2890,Coastal geomorphology Paleoseismology Tsunami geology Written records of old earthquakes and … 
7698552169257898503,g_QWxVAAAAAJ,Vicente Sisto,Dr. en Psicología Social. Profesor Titular Pontificia Universidad Católica de Valparaíso …,pucv,pucv.c,2869,Trabajo Subjetividad Identidad Psicología Social Análisis del Discurso 
7698552169257898503,FNkkn0kAAAAJ,Samuel Hormazabal,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",pucv,pucv.c,2868,Sistema de Corrientes de Borde Oriental Dinámica Costera Remolinos de Mesoescala Acoplamiento Físico-Biológico 
7698552169257898503,F4Q6NTsAAAAJ,Stefan Steiniger,Pontificia Universidad Catolica de Valparaiso - PUCV & CEDEUS,pucv,pucv.c,2773,Cartography GIScience Urban Planning Walkability 
7698552169257898503,ytVwClgAAAAJ,Cristian Rusu,Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,2699,Human-Computer Interaction User eXperience Customer eXperience 
7698552169257898503,zrNJL2oAAAAJ,Sergio Salinas,"Profesor: Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaiso",pucv,pucv.c,2696,Oceanografía Olas Estuarios 
7698552169257898503,-YDTvdYAAAAJ,Levi Mansur .,"Professor of plant breeding, Pontificia Universidad Católica de Valparaiso",pucv,pucv.c,2663,Genetics plant breeding 
7698552169257898503,wacf2BUAAAAJ,German Aroca,"Professor of Biochemical Engineering, P. Universidad Católica de Valparaíso",pucv,ucv.cl,2572,Biochemical Engineering Biofiltration Biofuels Bioethanol 
7698552169257898503,zQBFJuoAAAAJ,Claudia Victoria Altamirano Gomez,Pontificia Universidad Católica de Valparaiso,pucv,pucv.c,2563,Mammalian cell culture system biology recombinant protein 
7698552169257898503,ve1fhiAAAAAJ,Sergio Palma,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",pucv,pucv.c,2515,Zooplancton marino Plancton gelatinoso Biodiversidad Ecología 
7698552169257898503,tbQtxo4AAAAJ,Eleuterio Yáñez Rodríguez,Profesor Titular Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,2501,Oceanografía Pesquera 
7698552169257898503,ISWs1VQAAAAJ,Dumitru Astefanesei,PUCV,pucv,pucv.c,2260,physics 
7698552169257898503,8qV84A4AAAAJ,Dario Gabriel Perez,Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,2126,Optics Atmospheric Optics Optical Turbulence Metrology Stochastic Processes 
7698552169257898503,B3oMZV0AAAAJ,Eduardo Gonzalez Olivares,Pontificia Universidad Católica de Valparaíso,pucv,pucv.c,2107,Dinámica Poblacional (Populational … 
