id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
9232372474901007921,_dRgKD8AAAAJ,Humberto Maturana,Universidad de Chile,uchile,dcc.uchile,96704,Neurobiology Cognition Autopoiesis Language Education 
9232372474901007921,pSY7g_YAAAAJ,Alfredo Guillermo Criollo,"Research Institute of Dental Science  Faculty of Dentistry, University of Chile",uchile,u.uchile.c,32485,Cellular Biology Cancer 
9232372474901007921,9EwBymgAAAAJ,Mario Hamuy,"Profesor de Astronomía, Universidad de Chile",uchile,u.uchile.c,29636,
9232372474901007921,_fx52FkAAAAJ,Gonzalo Navarro,University of Chile,uchile,dcc.uchile,28265,algorithms and data structures text searching compression similarity search 
9232372474901007921,SJUEA8uk4iYC,José De Gregorio,Profesor de Economía Universidad de Chile,uchile,fen.uchile,26204,Macroeconomics International Economics International Finance Economic Development 
9232372474901007921,_07ZLa4AAAAJ,Juan Segura Aguilar,"Professor, Molecular & Clinical Pharmacologt, Faculty of Medicine, University of Chile",uchile,med.uchile,20616,neuroscience toxicology biochemistry molecular biology stem cells 
9232372474901007921,l2TIoXkAAAAJ,Lorena García Nannig,Universidad de Chile,uchile,ciq.uchile,19756,Cardiovascular Disease Inflammation 
9232372474901007921,HmELI5UAAAAJ,René Darío Garreaud,"Professor, Geophysics Department, Universidad de Chile",uchile,uchile.cl,18657,Atmospheric Sciences 
9232372474901007921,tFVzdokAAAAJ,Mary TK Arroyo,Universidad de Chile,uchile,uchile.cl,16268,Alpine ecology pollination biogeography conservation 
9232372474901007921,GTiVKRcAAAAJ,Zully Pedrozo,Universidad de Chile,uchile,med.uchile,15216,cardiovascular calcium signaling 
9232372474901007921,cgjx6tMAAAAJ,Luis A. Videla,"Profesor de Bioquímica, Facultad de Medicina, Universidad de Chile",uchile,med.uchile,14930,Estrés oxidativo mecanismos de daño y protección hepáticos 
9232372474901007921,lu8PRvkAAAAJ,Leonardo Bronfman,"Profesor de Astronomía, Universidad de Chile",uchile,das.uchile,14552,Radioastronomía Instrumentación Astronómica 
9232372474901007921,Xf_ulNAAAAAJ,RODRIGO IVÁN Mora,universidad de chile,uchile,uchile.cl,14452,urbanismo 
9232372474901007921,BgkzLTUAAAAJ,Mauricio Budini,Faculty of Dentistry. University of Chile,uchile,odontologi,12838,Cellular and Molecular Biology Autophagy Neurodegenerative Diseases Obesity and derived affections Oral diseases 
9232372474901007921,R86WqdoAAAAJ,Mariana Cifuentes,Universidad de Chile,uchile,inta.uchil,11671,Obesity adipose tissue dysfunction calcium sensing receptor 
9232372474901007921,cxaipVoAAAAJ,Alvaro Glavic,Universidad de Chile,uchile,uchile.cl,11649,Biología celular Biología del Desarrollo Biología Molecular 
9232372474901007921,1g7H4ToAAAAJ,Ramon López,"Department of economics, University of Chile",uchile,fen.uchile,10891,Economic development environmental economics 
9232372474901007921,WboqEP8AAAAJ,Andrew FG Quest,"Professor of Cell and Molecular Biology, University of Chile",uchile,med.uchile,10840,signal transduction cancer cell death 
9232372474901007921,v1yWwKUAAAAJ,Laura Perez,"Assistant Professor of Astronomy, Universidad de Chile",uchile,das.uchile,10536,Planet Formation Protoplanetary Disks 
9232372474901007921,yoH4l0UAAAAJ,Guido Garay,Universidad de Chile,uchile,das.uchile,10474,astrophysics 
9232372474901007921,BgXxxS8AAAAJ,Ramón Rodrigo,"Programa de Farmacología Molecular y Clínica, Instituto de Ciencias Biomédicas, Facultad …",uchile,med.uchile,10313,Estrés Oxidativo 
9232372474901007921,bmtKa3sAAAAJ,andres rivera,"departamento de geografia, universidad de chile",uchile,uchile.cl,10190,glaciology 
9232372474901007921,ecwhM0oAAAAJ,Roberto Cardenas,"Electrical Engineering Department, University of Chile",uchile,ing.uchile,9918,Power Electronics Electric Drives Wind Energy Renewable Energy 
9232372474901007921,2BLPkosAAAAJ,Fernando Ordonez,"Industrial Engineering, Universidad de Chile",uchile,dii.uchile,9867,operations research optimization 
9232372474901007921,jzeqUi4AAAAJ,Claudio Gutierrez,"Computer Science Department, Universidad de Chile",uchile,dcc.uchile,9798,Data Knowledge Graphs Databases Semantic Web RDF 
9232372474901007921,xXkuYEEAAAAJ,Mario Herrera-Marschitz,"University of Chile, Karolinska institutet, Manheim",uchile,med.uchile,9776,Neuroscience Pharmacology 
9232372474901007921,zugBuscAAAAJ,Walter Max-Moerbeck,"Assistant Professor, Astronomía, Universidad de Chile",uchile,das.uchile,9647,Active Galactic Nuclei blazars radio astronomy time domain astronomy time series analysis 
9232372474901007921,gOj959UAAAAJ,Simon Casassus,"Full Professor, Universidad de Chile",uchile,u.uchile.c,9589,Astronomy 
9232372474901007921,-8-ZtOEAAAAJ,Jaime Sánchez,Professor of Learning Technologies and Human-Computer Interaction at the University of …,uchile,uchile.cl,9516,Learning Technologies Computers in Education Human-Computer Interaction Technology for People with Disabilities 
9232372474901007921,5ntc1PMAAAAJ,Rodrigo Palma Behnke,Universidad de Chile,uchile,cec.uchile,9446,Power Systems Renewables Solar Energy Microgrids Energy Markets 
9232372474901007921,sSEH1OAAAAAJ,Beatrice avalos,Profesora Universidad de Chile,uchile,uchile.cl,9410,Educación Politicas 
9232372474901007921,PWLh77oAAAAJ,Eduardo Engel,"Professor of Economics, University of Chile.",uchile,fen.uchile,9343,economics statistics 
9232372474901007921,EqeZJ10AAAAJ,Edmundo Acevedo,University of Chile,uchile,uchile.cl,9092,Soil-Plant-Water Relations Plant Breeding Agronomy 
9232372474901007921,tTMtjNUAAAAJ,Patricio I. Moreno,Universidad de Chile,uchile,uchile.cl,8570,Quaternary paleoecology paleoclimatology 
