id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
6615366460316766280,z-hPEtoAAAAJ,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",uandes,uandes.cl,4639,stem cells 
6615366460316766280,MDYaR_EAAAAJ,Karina Pino-Lagos,"Immunologist, Faculty of Medicine, Universidad de los Andes",uandes,uandes.cl,3662,Immunology Transplantation Immuneregulation Inflammation 
6615366460316766280,EydjFV4AAAAJ,Jimena Cuenca Moreno,Universidad de los Andes,uandes,uandes.cl,2906,Cell therapy inflammation mesenchymal stem cells 
6615366460316766280,aGar50IAAAAJ,Ursula Wyneken,Universidad de los Andes,uandes,uandes.cl,2883,Neurociencias 
6615366460316766280,w6gqxZQAAAAJ,María Teresa Valenzuela,"Vicedecana de Investigación, Universidad de los Andes",uandes,uandes.cl,2692,Salud Pública 
6615366460316766280,tW8cPncAAAAJ,Matias Braun,"Professor of Financial Economics, ESE Business School, Universidad de los Andes",uandes,uandes.cl,2546,Financial Development Political Economy Economic History 
6615366460316766280,D2g6y38AAAAJ,Hernán Corral,Profesor de Derecho Civil Universidad de los Andes de Santiago de Chile,uandes,uandes.cl,2476,Derecho de la persona derecho de familia contratos responsabilidad civil Tomás Moro y su faceta jurídica 
6615366460316766280,ONsGb6MAAAAJ,Fernando E. Figueroa,"Universidad de los Andes, Santiago de Chile",uandes,UANDES.CL,2459,
6615366460316766280,p8-bZXkAAAAJ,Lara J Monteiro,"Postdoc fellow, Universidad de los Andes, Chile",uandes,miuandes.,2345,Molecular Biology Cancer Reproductive Biology 
6615366460316766280,6JV6CqQAAAAJ,Dolores Busso,"Facultad de Medicina, Universidad de los Andes",uandes,uandes.cl,2043,
6615366460316766280,VLin8zEAAAAJ,Patricio Valenzuela,"Universidad de los Andes, Chile",uandes,miuandes.,2009,Corporate Finance Credit Risk Financial Economics International Finance Financial Inclusion 
6615366460316766280,ur_LhQEAAAAJ,Rodrigo A. Fuentealba,Assistant Professor - Universidad de los Andes,uandes,uandes.cl,1902,neurodegenerative diseases protein aggregation polyglutamine huntingtin NFAT5 
6615366460316766280,K4UHS-sAAAAJ,Javier Enrione,Universidad de los Andes,uandes,uandes.cl,1824,
6615366460316766280,g99obcwAAAAJ,Jorge Gaete,"Faculty of Education, Universidad de los Andes (Chile). Clinical",uandes,uandes.cl,1708,Psychiatry Mental Health Child Health Adolescent Health. 
6615366460316766280,rTDvlSYAAAAJ,Francisca Alcayaga-Miranda,Universidad de los Andes,uandes,uandes.cl,1703,Stem cells extracellular vesicles exosomes cancer 
6615366460316766280,z0lTDXIAAAAJ,Juan Pablo Acevedo,Universidad de los Andes,uandes,uandes.cl,1677,Ingeniería de Tejidos Biomateriales 
6615366460316766280,GLwW01cAAAAJ,Rodrigo Astroza,"Associate Professor, Universidad de los Andes - Chile",uandes,miuandes.,1659,Earthquake Engineering Structural Engineering Structural Health Monitoring Finite Element Modeling Bayesian Inference 
6615366460316766280,mofFMcYAAAAJ,David Torres,"Universidad de Los Andes, Chile",uandes,miuandes.,1537,
6615366460316766280,tfxdgMUAAAAJ,Luis Federico Batiz,Universidad de los Andes,uandes,uandes.cl,1527,Neurodevelopment Cell Biology Reproduction Neural Stem Cells 
6615366460316766280,sr_eelcAAAAJ,Carlos E. Irarrazabal,Universidad de Los Andes,uandes,uandes.cl,1506,Biomedical Research Renal Physiology 
6615366460316766280,RhG4MfIAAAAJ,RODRIGO FERNANDEZ,"Profesor Titular, Universidad de los Andes (Santiago-Chile)",uandes,miuandes.,1466,modelación de tráfico ingeniería y gestión de tránsito transporte público 
6615366460316766280,Iyw5NZkAAAAJ,Miguel L. Prieto,"Associate Professor of Psychiatry, Universidad de los Andes, Chile",uandes,uandes.cl,1429,Psychiatry Mood Disorders Bipolar Disorders Cardiovascular Disease Biomarkers 
6615366460316766280,0W-BzeAAAAAJ,Jaime A. Anguita,"Professor, Universidad de los Andes - Chile",uandes,miuandes.,1393,Free-space optical communications Orbital angular momentum Optical wireless communications Error-correction 
6615366460316766280,CrKpj-gAAAAJ,Mario Felipe Gutiérrez Reyes,"Universidad de los Andes, Universidad de Chile",uandes,uandes.cl,1353,Dental Materials Adhesive Dentistry Ceramics 
6615366460316766280,BamCl30AAAAJ,ALBERTO VERGARA-FERNANDEZ,Universidad de los Andes - Chile,uandes,miuandes.,1310,Bioprocess Fungal Biofiltration Bioreactors Gas Biofiltration 
6615366460316766280,RVmOGS0AAAAJ,Sebastian Claro,"Universidad de Los Andes, Chile",uandes,uandes.cl,1248,International Economics 
6615366460316766280,v91PopMAAAAJ,Alvaro Vergés,"Escuela de Psicología, Universidad de los Andes",uandes,uandes.cl,1098,Clinical Psychology Psychopathology Addictions Personality 
6615366460316766280,S89RtNAAAAAJ,Orazio Descalzi,Universidad de los Andes - Chile,uandes,miuandes.,1056,Non-linear physics 
6615366460316766280,Rs_HIpMAAAAJ,Rosa G. González-Ramírez,"Universidad de Los Andes, Chile",uandes,uandes.cl,1028,Decision Support Systems Maritime and Port Logistics Logistics and Transportation Optimization Heuristics 
6615366460316766280,eN5q1XMAAAAJ,José Manuel Saavedra Rondo,"Research Professor, Faculty of Engineering and Applied Sciences, Universidad de los …",uandes,miuandes.,1016,computer vision image processing deep learning self-supervised models 
6615366460316766280,o2AO2joAAAAJ,Angel Soto Gamboa,Facultad de Ciencias Económicas y Empresariales Universidad de los Andes,uandes,uandes.cl,998,Latinoamerica Historia de Chile Historia Economica Pensamiento Crítico Relaciones Internacionales 
6615366460316766280,M3vEKGgAAAAJ,Monica Kurte,UNIVERSIDAD DE LOS ANDES,uandes,uandes.cl,946,Immunology Mesenchymal stem cells Immunoplasticity Lymphocytes Treg 
6615366460316766280,RJykzr8AAAAJ,Oscar F. Araneda,"Profesor de Fisiología Universidad de los Andes, Chile",uandes,miuandes.,918,Lung Oxidative stress Physical exercise Exhaled breath condensate extreme enviromments 
6615366460316766280,piLbgUAAAAAJ,José Ignacio Martínez Estay,"Profesor de Derecho Constitucional, Universidad de los Andes",uandes,uandes.cl,883,Derecho Público Derecho Constitucional 
