id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
1812728570911196340,J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",uss,uss.cl,21810,autophagy primary cilium metabolism obesity 
1812728570911196340,cE4i7RwAAAAJ,jorge cancino,Universidad San Sebastian,uss,uss.cl,12688,Biología Celular 
1812728570911196340,RnMVg4QAAAAJ,Kokkarachedu Varaprasad,"Associate Professor, Universidad San Sebastián",uss,uss.cl,5758,… for infection control  &  Hydrogels for … 
1812728570911196340,EWjCdo0AAAAJ,Juan C. Opazo,"Facultad de Medicina & Ciencia, Universidad San Sebastián",uss,uss.cl,4589,genome evolution gene family evolution molecular evolution comparative genomics 
1812728570911196340,3QjSMq0AAAAJ,Carlos P Vio,Universidad San Sebastian,uss,uss.cl,4024,Nephrology Hypertension Renal Physiology and Pathology 
1812728570911196340,5Z6nbs0AAAAJ,Alfonso González,Facultad de Medicina y Ciencia. Universidad San Sebastián,uss,uss.cl,3797,Protein trafficking. Cell polarity. Signaling … 
1812728570911196340,5w40_sYAAAAJ,Ernesto Lopez-Morales,Universidad San Sebastián,uss,uss.cl,3464,urban gentrification inner city entrepreneurialism 
1812728570911196340,Mr19oawAAAAJ,Alvaro Muñoz-Castro,Universidad San Sebastián,uss,uss.cl,3043,Química Inorgánica 
1812728570911196340,OdR5EgcAAAAJ,Samuel Durán Agüero,"Professor of Nutrition, Universidad San Sebastián",uss,uss.cl,2990,Nutrition artificial sweeteners obesity old adults 
1812728570911196340,ecuW5toAAAAJ,Verena Häussermann,Universidad San Sebastian,uss,uss.cl,2815,marine biodiversity cold-water corals marine protected areas biogeography 
1812728570911196340,OReZXCQAAAAJ,Alejandro S. Godoy,Universidad San Sebastián; Roswell Park Cancer Institute,uss,uss.cl,2767,Prostate cancer tumor microenvironment angiogenesis metabolism androgens 
1812728570911196340,XYEZ690AAAAJ,Andrea Leiva,Profesor Asociado. Universidad San Sebastián,uss,uss.cl,2559,Lipid metabolism. Endothelial function … 
1812728570911196340,Svu2s9AAAAAJ,Andrea Soza,Universidad San Sebastián,uss,uss.cl,2371,cell biology 
1812728570911196340,A-iKXMUAAAAJ,Cheril Tapia Rojas,Universidad San Sebastian,uss,uss.cl,2140,Neuroscience 
1812728570911196340,4cZPsgkAAAAJ,Manuel Varas-Godoy,"Associate Professor, Faculty of Medicine and Science, Universidad San Sebastián",uss,uss.cl,2120,Cancer Cell Biology Stem Cells Exosomes Small Extracellular Vesicles 
1812728570911196340,Rt9FDvkAAAAJ,PATRICIA V. BURGOS,"Facultad de Medicina y Ciencia, Universidad San Sebastián",uss,uss.cl,2034,Cell Biology Autophagy Proteostasis … 
1812728570911196340,_DUx58kAAAAJ,David Sirlopú Díaz,"Profesor de psicología social, Universidad San Sebastián",uss,uss.cl,1876,Tolerancia respeto aculturación 
1812728570911196340,oLXQ8UAAAAAJ,Claudio Molina,"Director Nacional de Investigación, Facultad de Odontología, Universidad San Sebastián",uss,uss.cl,1544,Patología Oral Autoinmunidad 
1812728570911196340,utxxkrcAAAAJ,María Inés Barría,"Universidad San Sebastián, Sede de la Patagonia",uss,uss.cl,1481,Virology Infectious Diseases Molecular Biology 
1812728570911196340,2LCZdhEAAAAJ,Ian Burbulis,"Assistant Professor, Universidad San Sebastian",uss,uss.cl,1409,Lifespan Genomics Somatic Mosaicism 
1812728570911196340,fFfL3pcAAAAJ,Paula Dagnino,Universidad San Sebastian,uss,uss.cl,1304,Psychotherapeutic Process Research 
1812728570911196340,rG_d6K4AAAAJ,Maria Marcela Bravo Zehnder,"Investigador Académico, Universidad San Sebastián",uss,uss.cl,1277,Biología Celular y Molecular e Inmunología 
1812728570911196340,-xvMIWgAAAAJ,Iván Nancucheo,Universidad San Sebastián,uss,uss.cl,1220,Microbial Biotechnology Sulfate reducing bacteria Biomining Acidophiles Geomicrobiology 
1812728570911196340,AyfEF4YAAAAJ,Marcos Godoy,CIBA - Universidad San Sebastián,uss,uss.cl,1219,fish diseases pathology virology 
1812728570911196340,9QBWM9MAAAAJ,Carlos Cespedes Fierro,Universidad San Sebastián,uss,uss.cl,1179,Kidney Physiology Hypertension 
1812728570911196340,FYg3J-IAAAAJ,Carlos F. Lagos,"Associate Professor, Chemical Biology & Drug Discovery Lab, Facultad de Medicina y …",uss,uss.cl,1113,Drug Discovery Computer-Aided Drug Design Chemical Biology Molecular Pharmacology 
1812728570911196340,v8FeGAgAAAAJ,Patricio Oyarzún,"Director de Investigación, Facultad de Ingeniería y Tecnología, Universidad San Sebastián",uss,uss.cl,1088,Inmunoinformática diseño racional de vacunas nanotecnología 
1812728570911196340,2a_9ECwAAAAJ,Claudio Retamal,"Docente Investigador, Universidad San Sebastian",uss,uss.cl,1047,Cell Biology Intracellular Trafficking Epithelial polarity 
1812728570911196340,wMB3BaYAAAAJ,Daniel A. Medina,Universidad San Sebastián,uss,uss.cl,1034,Bioinformática Microbioma Metagenómica 
1812728570911196340,Nu-6H0YAAAAJ,Juan Ricardo Couyoumdjian,Universidad San Sebastian,uss,uss.cl,1022,Chilean History 
1812728570911196340,s1mgbwEAAAAJ,MA Sarabia-Vallejos,"Assistant Professor, Universidad San Sebastian",uss,uss.cl,1020,Material science Surface modification Biopolymers Biomechanics 
1812728570911196340,Qe87VnwAAAAJ,Dr. Carlos A. Escobar,Universidad San Sebastián,uss,uss.cl,968,Organic Chemistry 
1812728570911196340,Zn-iYZYAAAAJ,Ana Maria Obregón Rivas,"Investigador de la Facultad de Ciencias para el cuidado de la salud, Universidad San …",uss,uss.cl,941,Nutrition Obesity Genetics 
1812728570911196340,BbRajoQAAAAJ,Cristián A. Amador,Universidad San Sebastian,uss,uss.cl,893,Renal Physiology Hypertension Inflammation 
1812728570911196340,FOq3_oAAAAAJ,Elena S. Rotarou,"Assistant Professor, Universidad San Sebastián",uss,uss.cl,888,health inequalities health policies health systems sustainable development 
1812728570911196340,RvtSCSoAAAAJ,Roberto Acevedo,Universidad San Sebastian,uss,uss.cl,883,química física 
1812728570911196340,NhiXlMIAAAAJ,Carolina Concha,"profesor de Enfermería, Universidad San Sebastián",uss,uss.cl,832,antropología enfermería humanismo 
1812728570911196340,XZdAIZAAAAAJ,Cesar Gonzalez Higuera,"Facultad de Medicina, Universidad San Sebastián, Lago Panguipulli 1390, Puerto Montt …",uss,uss.cl,778,Enfermedades neurodegenerativas células madres 
1812728570911196340,_tFjZN8AAAAJ,"Felipe Castillo Farias, MD",Universidad San Sebastian,uss,uss.cl,697,Sleep Surgery Sleep Medicine 
1812728570911196340,dNsBXU8AAAAJ,Carlos Hernández Ulloa,Universidad San Sebastián,uss,uss.cl,679,Artificial Intelligence Heuristic Search Automated Planning 
1812728570911196340,OoeBxwMAAAAJ,María Constanza Errázuriz,Universidad San Sebastián,uss,uss.cl,671,lingüística lectura escritura académica argumentación y didáctica de la lengua 
1812728570911196340,jqLVvWYAAAAJ,Sergio Benavides Valenzuela,Universidad San Sebastían,uss,uss.cl,657,matrices alimentarias funcionalizadas y … 
1812728570911196340,w-sRYaoAAAAJ,Cristóbal Cerda-Troncoso,"Organelle Phagy Lab, Centro de Biología Celular y Biomedicina-CEBICEM, Universidad …",uss,correo,654,
1812728570911196340,IXvfD7QAAAAJ,Alexandre Iarkov,Universidad San Sebastian,uss,uss.cl,646,neuroscience 
1812728570911196340,Ss-ertYAAAAJ,Berta Henríquez,"Facultad de Medicina y Ciencia, Universidad San Sebastián",uss,uss.cl,627,epigenetics cellular senescence transcriptional regulation 
1812728570911196340,sgUogVsAAAAJ,Maria José Monsalves,"Assistant Professor, Facultad de Medicina y Ciencia, Universidad San Sebastián",uss,uss.cl,626,Social epidemiology Health inequalities Public policy Multilevel analysis 
1812728570911196340,k3_YU_IAAAAJ,Karina Oyarce,"Docente Facultad de Ciencias de la Salud, Universidad San Sebastian, sede Concepcion",uss,uss.cl,615,inflamacion micronutrientes obesidad depresion 
1812728570911196340,9-CxjWkAAAAJ,Marcela Vergara,Universidad San Sebastian,uss,uss.cl,588,bioquimica fisiologia 
