id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
13542589241086358186,-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,unab,unab.cl,11515,Theoretical Chemistry Chemical Reactivity 
13542589241086358186,3MtGn3gAAAAJ,Martin Montecino,"Professor and Director, Institute of Biomedical Sciences, Universidad Andres Bello",unab,unab.cl,10261,Epigenetic mechanisms that control gene … 
13542589241086358186,XaLPe8sAAAAJ,Patricio Burdiles,"Profesor Titular, Universidad de Chile y Universidad Andrés Bello. Decano Fac. de Medicina …",unab,unab.cl,7937,Cirugía General Cirugia Digestiva Bioética Historia de la Medicina 
13542589241086358186,1ecYhzgAAAAJ,Claudia Andrea Riedel,Universidad Andrés Bello,unab,unab.cl,6928,Hypothyroxinemia iodide pregnancy fetal programming inflammatory … 
13542589241086358186,AJxlqR4AAAAJ,Ariel Orellana,"Universidad Andres Bello, Chile",unab,unab.cl,6583,Plant Biology Cell Biology Genomics Proteomics 
13542589241086358186,ShntkWcAAAAJ,Alvaro A. Elorza,"Full Professor, Institute of Biomedical Sciences, Universidad Andres Bello",unab,unab.cl,5792,Mitochondria Stem Cells Cancer Hematopoiesis Aging 
13542589241086358186,caX2l48AAAAJ,Giancarlo V. De Ferrari,"Full Professor, Universidad Andres Bello",unab,unab.cl,5424,Wnt/beta-catenin signaling Alzheimer's disease autism spectrum disorders cancer genetics and genomics 
13542589241086358186,ETVUJOgAAAAJ,Eduardo Chamorro,Director. Center for Theoretical & Computational Chemistry.  Universidad Andres Bello,unab,unab.cl,5117,Chemical Reactivity Density Functional Theory Spin polarized 
13542589241086358186,Vx7kPp8AAAAJ,Cristian Alvarez,Universidad Andres Bello,unab,unab.cl,4919,Actividad fisica Ejercicio físico Insulino Resistencia Diabetes tipo 2 Hipertensión 
13542589241086358186,QOn-wRYAAAAJ,Lucia Guaita,Universidad Andres Bello,unab,unab.cl,4574,astronomonia extragalactica 
13542589241086358186,zywiL_EAAAAJ,Claudio Cabello-Verrugio,Universidad Andres Bello,unab,unab.cl,4454,skeletal muscle atrophy angiotensin 1-7 TGF-beta angiotensin II 
13542589241086358186,tS-sZCcAAAAJ,Felipe Simon,Universidad Andres Bello,unab,unab.cl,4261,Inflammation Sepsis Vascular endothelial function Diagnosis ICU 
13542589241086358186,eiUxwsMAAAAJ,Masatoshi Sato,Universidad Andres Bello; Professor of Applied Linguistics,unab,unab.cl,4025,Applied Linguistics Second Language Acquisition Classroom research Research-practice relationship 
13542589241086358186,n7F84BEAAAAJ,Timo Anguita,"Associate Professor, Universidad Andres Bello",unab,unab.cl,3960,Gravitational lensing Galaxy formation and Evolution AGNs 
13542589241086358186,9-UD-nYAAAAJ,Guido Mora,"Profesor Titular, UNAB",unab,unab.cl,3562,Microbiology 
13542589241086358186,p7_WRcAAAAAJ,"Fernando Danilo Gonzalez Nilo, PhD","Director Center for Bioinformatics and Integrative Biology, Universidad Andres Bello …",unab,unab.cl,3515,Molecular Simulations Bio-nanotechnology Ion Channels Drug Design Protein Structure 
13542589241086358186,GYbT_iIAAAAJ,Ramiro Arratia-Perez,Universidad Andres Bello,unab,unab.cl,3384,Relativistic Molecular Physics 
13542589241086358186,0E1mc2kAAAAJ,Lorena Varela-Nallar,"Assistant Professor, Universidad Andres Bello",unab,unab.cl,3250,
13542589241086358186,fjXfzgsAAAAJ,Ernesto Guiraldes,"Universidad Andrés Bello, Santiago, Chile and Profesor Titular P. Universidad Católica de",unab,unab.cl,3202,Health Sciences Education Pediatric Gastroenterology Coeliac Disease Functional Gastrointestinal Disorders Acute diarrhea 
13542589241086358186,Nz1586IAAAAJ,Cristian Duarte,"Departamento de Ecologia y Biodiversidad, Universidad Andres Bello",unab,unab.cl,3042,Sandy beach ecology ecophysiology environmental stressors 
13542589241086358186,sa8zURMAAAAJ,Juan A. Ugalde,"Center for Bioinformatics and Integrative Biology, Universidad Andres Bello",unab,unab.cl,2809,Genomics Metagenomics Microbial Ecology Bioinformatics Evolutionary Genomics 
13542589241086358186,PewOAmMAAAAJ,William Tiznado,"Departamento de Ciencias Químicas, Universidad Andres Bello, Chile",unab,unab.cl,2715,Quantum Chemistry Clusters aromaticity chemical bonding exploration of the potential energy surface 
13542589241086358186,NyG0GBgAAAAJ,Luca Tarisciotti,Universidad Andres Bello,unab,unab.cl,2694,Power Electronics 
13542589241086358186,gBHF6iIAAAAJ,Pérez-Donoso JM,"BioNanotechnology and Microbiology Lab, Universidad Andres Bello",unab,unab.cl,2539,
13542589241086358186,neJ2jy8AAAAJ,Claudia Miranda-Castillo,Universidad Andrés Bello,unab,unab.cl,2406,
13542589241086358186,srhMOKMAAAAJ,Rodrigo Olea,"UNAB, Chile",unab,unab.cl,2309,Gauge/Gravity Duality  Topological Terms … 
13542589241086358186,QAMttIMAAAAJ,Eyleen Araya Fuentes,Universidad Andres Bello,unab,unab.cl,2309,Biotecnología 
13542589241086358186,n0k92DYAAAAJ,Alfredo Molina,universidad andres bello,unab,unab.cl,2126,Fish Physiology and Endocrinology Molecular Biology 
13542589241086358186,gX8MTLkAAAAJ,Carmen G Feijoo,"Universidad Andres Bello, Santiago, Chile",unab,unab.cl,2022,zebrafish immunology microbiota 
13542589241086358186,dOGAMmwAAAAJ,Paulo Canessa,"Assistant Professor at Centro de Biotecnologia Vegetal, Universidad Andres Bello",unab,unab.cl,1924,Fungal Microbiology Biotechnology Genomics and Genetics 
13542589241086358186,fe5EMDAAAAAJ,Walter Orellana,"Associate Professor, Department of Physical Science, Universidad Andres Bello",unab,unab.cl,1899,Condensed matter physics electronic structure calculations clean energy conversion 
13542589241086358186,NoPM3f8AAAAJ,Rafael Islas,Universidad Andres Bello,unab,unab.cl,1888,Computational Chemistry aromaticity electronic delocalization clusters 
13542589241086358186,JCv1hnQAAAAJ,Christian M. Ibáñez,Universidad Andres Bello,unab,unab.cl,1876,Ecología evolución biogeografía Cephalopoda (calamares y pulpos) 
13542589241086358186,ohAMB68AAAAJ,Sebastian E. Reyes-Lillo,"Associate Professor, Universidad Andres Bello",unab,unab.cl,1842,first principles materials science condensed matter physics 
13542589241086358186,KudA36sAAAAJ,Maria Teresa Urrutia,Universidad Andres Bello,unab,unab.cl,1836,Cervical cancer hysterectomy women´s health 
13542589241086358186,vS3FHbwAAAAJ,Jorge H. Valdes,"Associate Professor, Center for Bioinformatics and Integrative Biology, Universidad Andrés …",unab,unab.cl,1834,Biotechnology Evolutionary Genomics Bioinformatics Synthetic Biology 
13542589241086358186,6ltJBcIAAAAJ,jimmy stehberg,"Instituto de Ciencias Biomédicas, Universidad Andrés Bello",unab,unab.cl,1829,
13542589241086358186,6ykpzoEAAAAJ,juan A. valdés,Universidad Andres Bello,unab,unab.cl,1829,
13542589241086358186,oqu7RO8AAAAJ,Manuel Krauskopf,"Universidad Andres Bello, Universidad Viña del Mar",unab,unab.cl,1742,Ciencia & Tecnología Educación Superior 
13542589241086358186,8KUQDoIAAAAJ,"Loretto Contreras-Porcia, Loretto Contreras","Full Professor PhD, Departamento de Ecología y Biodiversidad, Universidad Andrés Bello",unab,unab.cl,1645,Phycology-Molecular Biology-Abiotic stress 
13542589241086358186,n41wfPkAAAAJ,Pablo Cruces,Universidad Andres Bello,unab,unab.cl,1639,Pediatric Critical Care ARDS Mechanical ventilation 
13542589241086358186,jwIedv8AAAAJ,Daniel Jerez Mayorga,"Facultad Ciencias de la Rehabilitación, Universidad Andrés Bello, Santiago, Chile",unab,unab.cl,1612,Resistance Training Muscle Quality Physical Activity 
13542589241086358186,OJxcVHwAAAAJ,José Miguel Alvarez Herrera,Universidad Andrés Bello,unab,unab.cl,1578,Plant Genomics 
13542589241086358186,ENG_tKUAAAAJ,Juan A Fuentes,Universidad Andrés Bello,unab,unab.cl,1489,Microbiología y Genética Molecular 
13542589241086358186,eviJ40kAAAAJ,Luis Penailillo,"Universidad Andres Bello, Chile",unab,unab.cl,1478,Muscle Physiology Muscle and Tendon Behaviour Eccentric Exercise Muscle Damage Metabolic Syndrome 
13542589241086358186,SNz4keUAAAAJ,Carlos J Blondel,Universidad Andres Bello,unab,unab.cl,1455,Microbial Pathogenesis Host-Pathogen interaction Protein Secretion Systems Vibrio Campylobacter 
13542589241086358186,hNYwofAAAAAJ,Francisca Blanco-Herrera,"Professor, Centro de Biotecnología Vegetal, Universidad Andrés Bello",unab,unab.cl,1310,Plant biology plant-pathogen interaction plant system biology 
13542589241086358186,2L2xtmIAAAAJ,Andrés Vega,Universidad Andres Bello,unab,unab.cl,1285,Quimica 
13542589241086358186,Gtn-2qoAAAAJ,José Pulgar,Universidad Andres Bello,unab,unab.cl,1277,Marine Ecophysiology Coastal Ecology 
13542589241086358186,AWhRKDAAAAAJ,Elizabeth Garrido-Ramírez,Universidad Andres Bello,unab,unab.cl,1244,emergent contaminants advanced oxidation process Fenton reaction allophane nanoclays 
13542589241086358186,h9ECWD4AAAAJ,Carla Fardella,Universidad Andres Bello,unab,unab.cl,1187,Psicología Social Psicología del Trabajo Identidad Resistencias Analisis del Discurso 
13542589241086358186,NXgx_KEAAAAJ,Cristian Bulboa,"Profesor Asociado, Universidad Andrés Bello",unab,unab.cl,1149,Botánica Marina ficología Acuicultura de algas marinas 
13542589241086358186,s2x6-ogAAAAJ,Carola Blazquez,"Professor, Universidad Andres Bello, Chile",unab,unab.cl,1075,Transportation Safety ITS Waste Collection Systems 
13542589241086358186,DD-JMw4AAAAJ,Gustavo Chiang,"Universidad Andrés Bello, Facultad de Ciencias de la Vida, Departamento de Ecología y …",unab,unab.cl,1054,Aquatic ecology ecotoxicology endocrine disruption environmental pollution Conservation biology 
13542589241086358186,kMKmPeoAAAAJ,Dayán Páez-Hernández,Universidad Andres Bello,unab,unab.cl,1051,lanthanide actinide molecular magnetism optical properties aromaticity 
13542589241086358186,vWbI15QAAAAJ,Carlos M Gonzalez,"Profesor de Patología Veterinaria, Escuela de Medicina Veterinaria, Universidad Andrés …",unab,unab.cl,1033,patología inmunopatología oncología 
13542589241086358186,DQ7nlU0AAAAJ,Alejandra Ximena Araya,Universidad Andres Bello,unab,unab.cl,1011,Vejez y envejecimiento 
13542589241086358186,QMl7mgcA3uQC,Michelle Mendoza Lira,Universidad Andres Bello,unab,unab.cl,994,
13542589241086358186,iytg6FkAAAAJ,Veronica A. Jimenez,Universidad Andres Bello,unab,unab.cl,990,Molecular simulation tubulin binding agents dendrimers 
13542589241086358186,AJqQ7TkAAAAJ,Gonzalo Aguila,Universidad Andres Bello,unab,unab.cl,961,Catálisis Ingeniería Química Sustentabilidad de Procesos Energía 
13542589241086358186,tZ89hfMAAAAJ,Gloria Arriagada,Universidad Andres Bello,unab,unab.cl,958,virology molecular biology celular biology 
13542589241086358186,KG_a-yoAAAAJ,Raquel Castellanos,Profesora de la Universidad Andrés Bello,unab,unab.cl,932,Educación en Ciencias de la Salud 
13542589241086358186,hLtDyK4AAAAJ,Verónica Quirici,Universidad Andres Bello,unab,unab.cl,931,Behavioral Ecology Molecular Ecology 
13542589241086358186,8_DjjuoAAAAJ,NALDY FEBRE VERGARA,"Profesor Titular, Facultad de Enfermería, Universidad Andres Bello",unab,unab.cl,920,Calidad seguridad de pacientes eventos adversos IAAS 
13542589241086358186,JPWSU2wAAAAJ,Mauro Basaure,Universidad Andrés Bello,unab,unab.cl,915,Sociology Social Theory Critical Theory Sociology of Time 
13542589241086358186,7TImrhEAAAAJ,Felipe Melo-González,Universidad Andrés Bello,unab,unab.cl,911,Immunology microbiology 
