id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
3702576657308349741,burjvaoAAAAJ,"Astudillo-Defru, Nicola","Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física …",ucsc,ucsc.cl,3785,Exoplanets Stellar activity radial velocities M dwarfs 
3702576657308349741,sDm6OpcAAAAJ,Danny Eugenio García Marrero,"Departamento de Química Ambiental, UCSC",ucsc,ucsc.cl,2958,Química 
3702576657308349741,1nTAQfsAAAAJ,Ivan A. Hinojosa,"Departamento de Ecología, Facultad de Ciencias, Universidad Católica de la Santísima …",ucsc,ucsc.cl,2917,Marine Biology Ecology Biogeography Ecoacoustics Bioacoustics 
3702576657308349741,WkGN7u4AAAAJ,Claudia Troncoso Pantoja,Universidad Católica de la Santísima Concepción,ucsc,ucsc.cl,2703,Nutrición y Dietética Conductas alimentarias durante el curso de la … Nutrición gerontológica 
3702576657308349741,uQ16sMcAAAAJ,Ricardo Lizana,Universidad Catolica de la Santisima Concepción,ucsc,ucsc.cl,2702,electronica de potencia 
3702576657308349741,Z-t7kV4AAAAJ,Mario George-Nascimento,"Facultad de Ciencias, Universidad Católica de la Santísima Concepción",ucsc,ucsc.cl,2643,Ecología del parasitismo 
3702576657308349741,auyTL1YAAAAJ,Patricio A. Camus,"Departmento de Ecologia, Facultad de Ciencias, Universidad Catolica de la Santisima …",ucsc,ucsc.cl,2615,Marine ecology Biogeography 
3702576657308349741,SaoUt94AAAAJ,Juan M. Cancino,Departamento de Ecología Universidad Católica de la Santísima Concepción,ucsc,ucsc.cl,2342,Bryozoology ecophysiology reproductive ecology 
3702576657308349741,pTVqu9oAAAAJ,Sergio Contreras,Universidad Catolica de la Santisima Concepcion,ucsc,ucsc.cl,1782,Biogeochemistry (paleo) environmental studies 
3702576657308349741,m4jvShcAAAAJ,Jorge León Muñoz,"Facultad de Ciencias, Universidad Católica de la Santísima Concepción",ucsc,ucsc.cl,1640,Hydrology Landscape Ecology Conservation Aquaculture 
3702576657308349741,OGIPogoAAAAJ,Maria Yeber,"Profesor de Química Orgánica, Universidad Católica de la Santísima Concepción",ucsc,ucsc.cl,1332,Advanced Oxidation processes photocatalysis persulfate Dyes biorremediation 
