id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
10448777709790852446,8XKXZJUAAAAJ,Giovanna Cottin,Universidad Adolfo Ibañez,uadolfoi,uai.cl,143326,Particle Phenomenology Beyond the Standard Model Long-Lived Particles Higgs 
10448777709790852446,OKfYDv0AAAAJ,Andrés Jordán,Universidad Adolfo Ibáñez,uadolfoi,uai.cl,19378,Exoplanets protoplanetary and debris disks early-type galaxies globular clusters 
10448777709790852446,RfGKP34AAAAJ,José Luis Campos,"Facultad de Ingeniería y Ciencias, Universidad Adolfo Ibáñez",uadolfoi,uai.cl,12406,Wastewater treatment 
10448777709790852446,aShVsHsAAAAJ,Sandra Milberg,"Professor of Marketing, Universidad Adolfo Ibañez",uadolfoi,uai.cl,10242,Consumer Behavior Branding Decision Making Information Privacy 
10448777709790852446,Js0nhfIAAAAJ,Bernardo R. Broitman,"Professor, Departamento de Ciencias, Facultad Artes Liberales, Universidad Adolfo Ibáñez",uadolfoi,uai.cl,7138,Biophysical forcing Coastal ecosystems Biogeography 
10448777709790852446,ZxW_BhoAAAAJ,"Constanza Bianchi, PhD",Universidad Adolfo Ibañez - Queensland University of Technology,uadolfoi,uai.cl,5950,International marketing 
10448777709790852446,S2EpBmkAAAAJ,Tito Homem-de-Mello,Professor. School of Business. Universidad Adolfo Ibañez.,uadolfoi,uai.cl,5874,Optimization under uncertainty. 
10448777709790852446,w742qQgAAAAJ,Daniel Olivares Quero,"Associate Professor, Faculty of Engineering and Sciences, Universidad Adolfo Ibañez",uadolfoi,uai.cl,5390,Power & Energy Systems Smartgrids Microgrids Applied Optimization. 
10448777709790852446,3aaunA0AAAAJ,Jorge Cuadra,Universidad Adolfo Ibáñez,uadolfoi,uai.cl,5327,Astrophysics Galactic Centre Protoplanetary Discs Super-Massive Black Hole Binaries 
10448777709790852446,724ME-oAAAAJ,Gijs D Mulders,"Assistant Professor, Universidad Adolfo Ibáñez",uadolfoi,uai.cl,5165,exoplanet astronomy 
10448777709790852446,lSbD6y8AAAAJ,Bernardo González,Universidad Adolfo Ibáñez. Universidad Católica de Chile,uadolfoi,uai.cl,4942,
10448777709790852446,0ibegmYAAAAJ,Jacques Dumais,"Professor of Bioengineering, Universidad Adolfo Ibáñez",uadolfoi,uai.cl,4641,cell mechanics cell morphogenesis cell division fog collection 
10448777709790852446,zmkA7uwAAAAJ,Andrea Repetto,Universidad Adolfo Ibañez,uadolfoi,uai.cl,4555,Applied Economics 
10448777709790852446,xd4Wp9wAAAAJ,Gary O'Donovan,"BrainLat, Universidad Adolfo Ibáñez",uadolfoi,uai.cl,4251,Physical activity and health 
10448777709790852446,VQchlPYAAAAJ,joris van de klundert,"School of Business, Universidad Adolfo Ibanez",uadolfoi,uai.cl,4241,Operations Health Services 
10448777709790852446,3ZKkR_gAAAAJ,Marco A Lardies,Universidad Adolfo Ibañez,uadolfoi,uai.cl,4010,ecology evolution environmental sciences evolutionary ecology marine biology 
10448777709790852446,3ut4Mn0AAAAJ,Roberto Cominetti,Universidad Adolfo Ibáñez (Chile),uadolfoi,uai.cl,3864,Convex Analysis Optimization Game Theory Transportation 
10448777709790852446,jGAelSwAAAAJ,Rafael Brahm,Universidad Adolfo Ibañez,uadolfoi,uai.cl,3766,Astronomía 
10448777709790852446,Z8zHERAAAAAJ,Claudio Bravo Ortega,"Escuela de Negocios, Universidad Adolfo Ibañez",uadolfoi,uai.cl,3159,Innovación Crecimiento Economico y Economía Politica 
10448777709790852446,6wMud9YAAAAJ,David Huepe,Center for Social and Cognitive Neuroscience (CSCN) School of Psychology - Adolfo Ibañez …,uadolfoi,uai.cl,3144,Social Neuroscience Social Cognition Psychology 
10448777709790852446,QASCP9kAAAAJ,Daniel Chernilo,Universidad Adolfo Ibáñez,uadolfoi,uai.cl,2938,philosophical sociology social theory sociology cosmopolitanism nationalism 
10448777709790852446,Qlo5BzAAAAAJ,Viviana Fernandez,Universidad Adolfo Ibañez,uadolfoi,uai.cl,2524,Financial Econometrics Mineral economics Innovation Entrepreneuship 
10448777709790852446,RG9y4EQAAAAJ,Mauricio Galleguillos,"Universidad Adolfo Ibañez, Facultad de Ingeniería y Ciencias",uadolfoi,uai.cl,2322,Remote Sensing Ecosystems Hydrology 
10448777709790852446,7H4k-70AAAAJ,Aldo Mascareño,Universidad Adolfo Ibáñez,uadolfoi,uai.cl,2242,Teoría social 
10448777709790852446,V2IQltIAAAAJ,Jordi Pereira,Universidad Adolfo Ibáñez,uadolfoi,uai.cl,2210,Combinatorial Optimization Assembly line balancing Network Design Scheduling 
10448777709790852446,Q6u9Jr8AAAAJ,Guillermo Paraje,Universidad Adolfo Ibañez,uadolfoi,uai.cl,2146,Health Economics Development Economics 
10448777709790852446,KbhBu5IAAAAJ,Claudio A. Agostini,Universidad Adolfo Ibañez,uadolfoi,uai.cl,1996,Tax Policy Antitrust Energy Economics 
10448777709790852446,jBBm2o0AAAAJ,Andrea Vega,"Faculty of Engineering and Science, Adolfo Ibañez University",uadolfoi,uai.cl,1958,Plant molecular biology 
10448777709790852446,seFxmwsAAAAJ,Hernán A. Gonzalez,Universidad Adolfo Ibáñez,uadolfoi,uai.cl,1900,black holes classical and quantum gravity 
10448777709790852446,SAU_hdkAAAAJ,Marcos Goycoolea,"Professor of Operations Research, Universidad Adolfo Ibañez",uadolfoi,uai.cl,1832,Optimization Integer Programming 
