id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
12968600147058256171,JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",ucm,ucm.cl,3189,Advanced glycation Tumor microenvironment Inflammation 
12968600147058256171,bcP4IRcAAAAJ,Ariel D Arencibia Rodriguez,Universidad Católica del Maule,ucm,ucm.cl,2267,Functional genomics secondary metabolites bioreactors metagenomics 
12968600147058256171,pAWGl5IAAAAJ,Jorge Valenzuela,"Facultad de Educación, Universidad Católica del Maule",ucm,ucm.cl,1872,Motivación Aprendizaje Pensamiento crítico Formación de profesores Motivation 
12968600147058256171,FlCuQzMAAAAJ,Rodrigo Salcedo,"Associate Professor of Sociology, Universidad Católica del Maule",ucm,ucm.cl,1865,urbaqn sociology urban theory consumption shopping malls gated communities 
12968600147058256171,02UZy1cAAAAJ,Fernando Delgado Lopez,"Facultad de Medicina, Universidad Catolica del Maule",ucm,ucm.cl,1796,Tumor Microenvironment Inflammation Adenovirus 
12968600147058256171,0oV8KloAAAAJ,Eugenio Saavedra,Universidad Católica del Maule,ucm,ucm.cl,1691,Resiliencia Jóvenes Familia 
12968600147058256171,EELsGB8AAAAJ,María Teresa Muñoz Quezada,"CINPSI Neurocog, Universidad Católica del Maule",ucm,ucm.cl,1664,Public health environmental exposure pesticides neurocognitive functioning disability and quality of life 
12968600147058256171,k7Es23wAAAAJ,Danilo Díaz-Levicoy,Universidad Católica del Maule,ucm,ucm.cl,1621,Educación Estadística Statistics Education Educação Estatística 
12968600147058256171,DC-1QokAAAAJ,"Pablo Valdés-Badilla, Ph.D.",Universidad Católica del Maule,ucm,ucm.cl,1407,Actividad Física y Salud 
12968600147058256171,dfRIBfsAAAAJ,Adriana Victoria Treuer Moya,"Assistant Professor, Universidad Católica del Maule, UCM.",ucm,ucm.cl,1385,Cardiovascular Basic Science Biochemistry Organic Synthesis Molecular and Cell Biology 
12968600147058256171,feMshoAAAAAJ,"Gonzalo Salas, PhD            (Orcid: 0000-0003-0707-8188)","Departamento de Psicología, Universidad Católica del Maule",ucm,ucm.cl,1343,Historia de la Psicología Psicología educacional Bibliometría 
12968600147058256171,Th2-4-sAAAAJ,Hugo A Benítez,Universidad Católica del Maule,ucm,ucm.cl,1296,Evolutionary Biology Ecology Entomology Morphometrics Geometric Morphometrics 
12968600147058256171,SoZ70swAAAAJ,Sara Cuadros Orellana,"Full Professor, Universidad Católica del Maule",ucm,ucm.cl,1272,Microbial Genomics Microbial Ecology 
