id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
8365100606562762008,VgRSHRIAAAAJ,Francisco Sabatini,"Profesor titular, Universidad del Bio Bio, Chile; profesor titular, U. Católica de Chile",ubiobio,ubiobio.cl,7143,Segregación y gentrificación conflictos ambientales locales mercados y políticas de suelo urbana 
8365100606562762008,XzL2VuQAAAAJ,María Margarita Chiang Vega,"Doctora en Recursos Humanos, Universidad del Bio Bio, Chile",ubiobio,ubiobio.cl,5230,Comportamiento organizacional Gestión de Recursos Humanos 
8365100606562762008,NF4oLaoAAAAJ,Elizabeth Eliana Grandón Toledo,Universidad del Bio-Bio,ubiobio,ubiobio.cl,4135,technology adoption information systems electronic commerce 
8365100606562762008,eq8CB7kAAAAJ,Carlos Alonso Escudero Orozco,Universidad del Bio Bio,ubiobio,ubiobio.cl,2901,Biomedicina preeclampsia angiogenesis 
8365100606562762008,g1hEHz8AAAAJ,José Norambuena-Contreras,Associate Professor in Civil Engineering - University of Bío-Bío,ubiobio,ubiobio.cl,2757,Bituminous Materials Self-Healing Materials Waste Materials Innovative Materials 
8365100606562762008,3DLq6aoAAAAJ,Gipsy Tabilo-Munizaga,Universidad del Bío-Bío,ubiobio,ubiobio.cl,2624,Food Processing  High pressure  High … 
8365100606562762008,jDVoPZsAAAAJ,Julio Alarcón-Enos,Universidad del Bio-Bio,ubiobio,ubiobio.cl,2263,Química de Productos Naturales 
8365100606562762008,ii1lGzIAAAAJ,Ricardo Darío Villalobos Carvajal,Universidad del Bío-Bío- Food Engineering Department,ubiobio,ubiobio.cl,1878,
8365100606562762008,H_oSaL4AAAAJ,Carlos Torres Navarro,Universidad del Bío-Bío,ubiobio,ubiobio.cl,1858,Calidad Producción 
8365100606562762008,7jAMWuYAAAAJ,Alfonso Rodríguez Ríos (orcid: 0000-0002-1236-9388),"Associate Professor of Computer Science and Information Technologies, University of Bio …",ubiobio,ubiobio.cl,1729,Information systems Business Process Security Data Quality BPMN 
